name;rating;convenience;security;functionality;comment
Курятник 86;1.7;3;4;3;Это здание имеет стандартную конструкцию.

Гараж 68;0.1;5;1;3;Это здание не имеет особых архитектурных особенностей.

Супермаркет 34;1.2;3;5;1;Это великолепное здание!

Силок 55;0.6;5;1;5;Это здание построено из стандартных строительных материалов.

Док 38;2.9;5;1;1;Это здание не имеет особых архитектурных особенностей.

Склад 79;4.8;5;5;5;Это здание является примером функционального дизайна.

Замок 70;0.2;3;2;5;У этого здания отличная архитектура.

Банк 23;3.2;5;5;2;Это здание является примером функционального дизайна.

Котельная 75;0.2;4;1;5;Это здание представляет собой типичный образец современной архитектуры.

Замок 70;4.7;4;4;5;Это здание является примером функционального дизайна.

Замок 60;1.2;1;1;3;Это здание построено из стандартных строительных материалов.

Фазенда 14;1.4;4;5;2;Это здание имеет стандартную конструкцию.

Гнездо 30;1.4;4;3;4;Это здание прекрасно вписывается в окружающий ландшафт.

Пандус 75;2.8;5;3;4;Это здание имеет стандартную конструкцию.

Замок 60;2.4;5;3;5;Это здание является примером функционального дизайна.

Котельная 75;1.1;1;5;1;У этого здания отличная архитектура.

Пасека 53;0.4;1;4;1;Это здание является примером функционального дизайна.

Мушиный лабиринт 4;2.4;5;3;3;Это здание построено из стандартных строительных материалов.

Причал 13;0.8;1;1;1;Это здание является примером функционального дизайна.

Лежбище 78;4.6;1;1;2;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.

Пандус 75;3.0;1;4;2;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.

Маяк 93;4.1;4;4;4;Это здание прекрасно вписывается в окружающий ландшафт.

Берлога 61;0.4;5;1;1;Мне нравится дизайн этого здания.

Конюшня 37;4.3;2;1;5;Это здание не имеет особых архитектурных особенностей.

Отель 79;2.9;5;5;4;Мне нравится дизайн этого здания.

Пасека 81;3.8;1;3;4;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.

Плантация 19;4.7;1;4;1;Это здание имеет стандартную конструкцию.

Гнездо 30;4.3;1;3;4;Это великолепное здание!

Муравейник 85;1.1;4;5;4;Это здание построено из стандартных строительных материалов.

Пандус 75;4.2;3;3;5;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.

Крольчатник 45;3.4;5;4;3;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.

Конюшня 37;0.3;5;1;2;Это здание является примером функционального дизайна.

Крольчатник 45;5.0;2;1;5;Это здание не имеет особых архитектурных особенностей.

Маяк 93;4.2;5;1;2;Это здание не имеет особых архитектурных особенностей.

Коттедж 48;2.1;2;1;2;Мне нравится дизайн этого здания.

Библиотека 45;1.7;2;4;4;Это здание построено из стандартных строительных материалов.

Гнездо 3;3.2;4;5;4;Мне нравится дизайн этого здания.

Канализация 66;4.8;3;3;1;Это здание является примером функционального дизайна.

Лосятник 72;1.0;3;3;4;Это здание является примером функционального дизайна.

Курятник 60;0.9;4;4;4;Это здание не имеет особых архитектурных особенностей.

Кинотеатр 28;1.6;1;1;5;Это здание представляет собой типичный образец современной архитектуры.

Муравейник 85;1.8;4;5;3;У этого здания отличная архитектура.

Курятник 60;1.9;5;4;1;Мне нравится дизайн этого здания.

Лежбище 78;3.0;5;2;5;Это здание не имеет особых архитектурных особенностей.

Аптека 6;0.8;4;2;3;Это здание построено из стандартных строительных материалов.

Бункер 31;3.0;2;1;2;Это здание является примером функционального дизайна.

Библиотека 45;1.2;3;2;4;Это здание представляет собой типичный образец современной архитектуры.

Склад 79;4.9;4;4;1;Это здание является примером функционального дизайна.

Курятник 60;4.0;2;3;1;Это здание является примером функционального дизайна.

Мушиный лабиринт 4;1.9;3;2;5;Это здание прекрасно вписывается в окружающий ландшафт.

Хаус 68;2.9;4;3;3;Это великолепное здание!

Коровник 49;3.9;5;2;5;Это здание не имеет особых архитектурных особенностей.

Овчарня 15;1.4;1;2;5;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.

Путепровод 78;0.3;4;1;3;Это здание представляет собой типичный образец современной архитектуры.

Эскалатор 10;4.8;4;4;3;Это здание представляет собой типичный образец современной архитектуры.

Хаус 68;3.1;2;2;3;Это здание построено из стандартных строительных материалов.

Логово 48;0.2;3;2;2;Это здание является примером функционального дизайна.

Супермаркет 34;1.7;2;5;1;Мне нравится дизайн этого здания.

Лосятник 72;4.5;2;2;4;Это здание является примером функционального дизайна.

Аптека 69;4.5;3;3;1;Это здание является примером функционального дизайна.

Крольчатник 45;1.8;1;2;2;Это здание является примером функционального дизайна.

Конюшня 37;2.2;1;5;1;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.

Овчарня 15;0.5;1;4;1;Это здание представляет собой типичный образец современной архитектуры.

Муравейник 66;4.6;1;3;4;Это здание представляет собой типичный образец современной архитектуры.

Док 38;3.0;5;1;1;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.

Склад 17;2.4;2;5;4;Это великолепное здание!

Подвал 53;1.7;3;1;2;Это здание очень функционально.

Муравейник 85;4.2;3;3;2;Мне нравится дизайн этого здания.

Отель 79;2.4;5;3;2;Это здание является примером функционального дизайна.

Убежище 10;3.0;2;5;3;Это здание прекрасно вписывается в окружающий ландшафт.

Муравейник 85;0.7;5;5;2;Мне нравится дизайн этого здания.

Бомбоубежище 39;3.9;1;4;3;Это здание имеет стандартную конструкцию.

Ферма 62;1.9;5;5;3;Это здание очень функционально.

Пасека 53;2.4;3;1;3;У этого здания отличная архитектура.

Мушиный лабиринт 4;1.5;4;2;5;Это здание не имеет особых архитектурных особенностей.

Мушиный лабиринт 4;1.5;2;2;3;Это здание построено из стандартных строительных материалов.

Пасека 81;0.5;4;2;2;Это здание построено из стандартных строительных материалов.

Кинотеатр 28;3.1;3;4;2;Это здание представляет собой типичный образец современной архитектуры.

Конюшня 37;0.8;2;4;4;Это здание построено из стандартных строительных материалов.

Аптека 69;1.3;4;2;1;Это здание не имеет особых архитектурных особенностей.

Котельная 75;4.5;2;1;3;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.

Фабрика 15;4.5;1;3;4;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.

Муравейник 66;1.6;5;2;5;У этого здания отличная архитектура.

Отель 48;2.4;1;4;3;Это здание является примером функционального дизайна.

Док 38;3.8;1;2;5;Это здание является примером функционального дизайна.

Чердак 3;1.1;1;3;3;Мне нравится дизайн этого здания.

Котельная 75;3.1;2;1;2;Это здание прекрасно вписывается в окружающий ландшафт.

Берлога 61;0.7;3;3;3;Это здание является примером функционального дизайна.

Крольчатник 45;1.9;3;3;2;Это здание имеет стандартную конструкцию.

Аптека 6;3.3;1;1;1;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.

Лежбище 78;2.6;1;2;5;Это здание имеет стандартную конструкцию.

Эскалатор 10;3.2;3;2;4;У этого здания отличная архитектура.

Склад 79;4.6;3;1;3;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.

Гнездо 3;0.2;2;2;4;Это здание прекрасно вписывается в окружающий ландшафт.

Архив 4;1.2;3;3;4;Это здание очень функционально.

Петля 65;4.1;4;1;5;Это здание не имеет особых архитектурных особенностей.

Муравейник 66;3.9;2;5;3;Это великолепное здание!

Пасека 81;0.3;5;5;4;Это здание прекрасно вписывается в окружающий ландшафт.

Библиотека 45;1.0;2;3;4;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.

Овчарня 15;5.0;3;4;1;Это здание очень функционально.

Мушиный лабиринт 4;2.0;3;5;1;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.

Гнездо 30;1.9;5;2;3;Это здание имеет стандартную конструкцию.

Петля 65;0.3;4;3;5;Это великолепное здание!

Силок 55;3.2;3;4;5;Это здание является примером функционального дизайна.

Ферма 34;4.9;4;4;3;Это здание прекрасно вписывается в окружающий ландшафт.

Ферма 34;2.1;3;1;5;У этого здания отличная архитектура.

Пандус 75;1.0;4;4;4;Это здание является примером функционального дизайна.

Бункер 4;0.7;2;3;5;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.

Логово 48;3.5;3;3;4;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.

Отель 48;1.2;5;4;2;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.

Гараж 68;3.2;3;3;4;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.

Овчарня 15;0.2;5;2;3;Это здание очень функционально.

Чердак 3;1.1;3;1;2;Это здание имеет стандартную конструкцию.

Архив 4;2.0;3;3;2;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.

Аптека 19;1.9;1;5;1;Это великолепное здание!

Овчарня 15;4.0;5;4;5;Это здание представляет собой типичный образец современной архитектуры.

Нефтепровод 61;4.3;4;5;2;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.

Замок 60;0.6;3;2;5;Это здание построено из стандартных строительных материалов.

Маяк 93;1.7;5;5;1;Это здание прекрасно вписывается в окружающий ландшафт.

Силок 55;4.2;4;3;4;Мне нравится дизайн этого здания.

Курятник 60;2.9;2;5;5;Это здание не имеет особых архитектурных особенностей.

Нефтепровод 61;4.7;1;5;4;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.

Плантация 19;1.5;3;3;2;Это великолепное здание!

Библиотека 45;3.2;1;1;4;У этого здания отличная архитектура.

Кинотеатр 28;4.7;5;4;1;Это здание построено из стандартных строительных материалов.

Лежбище 78;1.1;5;3;2;Это здание представляет собой типичный образец современной архитектуры.

Логово 48;1.6;4;4;5;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.

Склад 79;1.1;5;1;3;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.

Замок 70;2.6;2;1;4;Это здание построено из стандартных строительных материалов.

Крольчатник 45;2.7;4;2;3;Это здание представляет собой типичный образец современной архитектуры.

Петля 65;2.3;1;4;4;Это здание представляет собой типичный образец современной архитектуры.

Библиотека 45;3.2;1;4;1;Это здание построено из стандартных строительных материалов.

Эскалатор 10;2.8;5;5;5;У этого здания отличная архитектура.

Путепровод 78;4.5;1;4;5;Это здание имеет стандартную конструкцию.

Док 38;3.2;2;3;4;Это здание очень функционально.

Аптека 19;0.5;1;1;4;Это здание имеет стандартную конструкцию.

Страусятник 2;4.6;5;4;5;Это здание не имеет особых архитектурных особенностей.

Коровник 49;3.9;1;1;2;Это здание построено из стандартных строительных материалов.

Отель 79;2.3;1;1;4;Это здание очень функционально.

Хаус 68;4.8;4;5;1;Это здание не имеет особых архитектурных особенностей.

Супермаркет 34;2.4;5;4;3;Это здание очень функционально.

Овчарня 15;1.1;2;2;3;Это здание построено из стандартных строительных материалов.

Замок 70;4.3;3;3;4;Это здание очень функционально.

Причал 13;1.4;2;3;4;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.

Аптека 69;1.7;3;3;4;У этого здания отличная архитектура.

Лежбище 78;4.6;2;3;4;Это здание прекрасно вписывается в окружающий ландшафт.

Отель 48;3.4;1;5;5;Это здание представляет собой типичный образец современной архитектуры.

Подвал 53;3.1;1;2;2;Это здание является примером функционального дизайна.

Конюшня 37;4.5;3;2;3;Это здание прекрасно вписывается в окружающий ландшафт.

Коровник 49;3.8;1;2;5;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.

Супермаркет 34;0.6;3;1;2;Это здание не имеет особых архитектурных особенностей.

Канализация 66;2.6;1;2;3;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.

Цирк 83;0.2;3;3;4;Это здание очень функционально.

Канализация 66;0.7;2;4;5;Это здание представляет собой типичный образец современной архитектуры.

Курятник 86;4.6;4;2;5;У этого здания отличная архитектура.

Подвал 53;1.6;3;3;5;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.

Муравейник 66;4.4;1;4;1;Это великолепное здание!

Силок 55;0.1;1;1;2;Это здание прекрасно вписывается в окружающий ландшафт.

Коровник 49;4.4;5;1;3;Это здание очень функционально.

Архив 4;2.7;1;1;1;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.

Мушиный лабиринт 4;3.1;1;3;1;Это здание представляет собой типичный образец современной архитектуры.

Ангар 46;0.1;4;5;4;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.

Аптека 69;0.9;2;3;3;Это здание не имеет особых архитектурных особенностей.

Курятник 60;4.0;5;3;5;Это здание не имеет особых архитектурных особенностей.

Ангар 46;3.6;4;4;5;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.

Подвал 53;4.4;1;3;5;Это здание имеет стандартную конструкцию.

Конюшня 37;1.7;1;4;1;Это здание построено из стандартных строительных материалов.

Аптека 6;1.9;4;2;2;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.

Страусятник 2;1.5;5;2;5;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.

Муравейник 66;0.9;4;5;5;Это великолепное здание!

Гараж 68;0.4;4;5;3;Это здание построено из стандартных строительных материалов.

Пандус 75;0.2;1;2;2;Это здание представляет собой типичный образец современной архитектуры.

Теплотрасса 42;3.3;3;1;1;Это здание является примером функционального дизайна.

Бомбоубежище 39;3.6;3;3;4;Это здание построено из стандартных строительных материалов.

Петля 65;2.5;1;3;1;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.

Плантация 19;4.3;5;5;3;Это великолепное здание!

Мушиный лабиринт 4;1.1;5;1;5;Это здание имеет стандартную конструкцию.

Крольчатник 45;1.8;2;2;1;У этого здания отличная архитектура.

Канализация 66;5.0;5;4;3;Это здание имеет стандартную конструкцию.

Отель 79;0.9;1;4;2;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.

Плантация 19;0.6;1;1;2;У этого здания отличная архитектура.

Аптека 6;4.8;3;4;5;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.

Гараж 68;1.8;4;3;2;Это здание построено из стандартных строительных материалов.

Курятник 60;3.5;2;1;3;Это здание не имеет особых архитектурных особенностей.

Гараж 68;3.2;3;3;3;Это здание представляет собой типичный образец современной архитектуры.

Гараж 68;4.7;2;2;4;Это здание имеет стандартную конструкцию.

Кинотеатр 28;2.3;2;1;5;Это здание построено из стандартных строительных материалов.

Подвал 53;1.4;4;2;1;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.

Архив 4;1.7;5;5;3;Это здание очень функционально.

Ангар 46;4.5;5;2;4;Это великолепное здание!

Гараж 68;3.5;4;1;4;Это здание является примером функционального дизайна.

Канализация 66;4.6;3;4;2;Это здание является примером функционального дизайна.

Фазенда 14;4.1;4;4;3;У этого здания отличная архитектура.

Крольчатник 45;1.8;5;3;4;Это здание является примером функционального дизайна.

Бомбоубежище 39;3.8;1;5;5;Это здание очень функционально.

Гнездо 3;4.0;3;3;5;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.

Подвал 53;1.8;5;1;5;Это здание является примером функционального дизайна.

Пандус 75;2.8;3;2;3;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.

Супермаркет 34;2.4;2;1;3;Это здание имеет стандартную конструкцию.

Пасека 53;2.9;4;5;3;Это здание построено из стандартных строительных материалов.

Аптека 69;0.2;5;3;3;Это здание построено из стандартных строительных материалов.

Фазенда 14;1.0;3;1;5;Это здание представляет собой типичный образец современной архитектуры.

Отель 79;3.7;5;4;4;Мне нравится дизайн этого здания.

Замок 70;3.8;1;5;1;Это здание имеет стандартную конструкцию.

Овчарня 15;3.8;2;2;5;Это здание построено из стандартных строительных материалов.

Берлога 61;2.7;4;4;3;Это здание представляет собой типичный образец современной архитектуры.

Развязка 10;4.6;2;4;3;Это здание построено из стандартных строительных материалов.

Путепровод 78;4.2;3;1;3;Это здание является примером функционального дизайна.

Улей 31;3.5;3;1;5;Это здание представляет собой типичный образец современной архитектуры.

Петля 65;4.5;3;4;1;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.

Чердак 3;0.4;5;5;3;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.

Бомбоубежище 39;4.6;1;4;1;Это здание не имеет особых архитектурных особенностей.

Хаус 68;0.2;3;2;3;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.

Замок 60;0.1;5;4;1;Это здание не имеет особых архитектурных особенностей.

Страусятник 2;2.2;4;4;4;Это здание имеет стандартную конструкцию.

Бункер 31;0.6;5;2;5;Мне нравится дизайн этого здания.

Замок 60;3.0;2;1;5;Это здание представляет собой типичный образец современной архитектуры.

Хаус 68;3.7;4;4;3;Это здание представляет собой типичный образец современной архитектуры.

Хаус 68;4.7;5;1;4;Это здание прекрасно вписывается в окружающий ландшафт.

Развязка 10;0.6;2;1;2;Это здание является примером функционального дизайна.

Курятник 86;2.3;1;5;1;Это здание является примером функционального дизайна.

Муравейник 85;4.9;3;5;5;Это здание является примером функционального дизайна.

Овчарня 15;2.2;3;3;1;Это здание построено из стандартных строительных материалов.

Подвал 53;2.5;1;5;2;Это здание прекрасно вписывается в окружающий ландшафт.

Отель 79;4.9;2;3;5;У этого здания отличная архитектура.

Плантация 19;3.5;1;4;4;Это здание очень функционально.

Кинотеатр 28;1.5;1;1;1;Это здание имеет стандартную конструкцию.

Страусятник 2;0.2;4;2;4;Это здание очень функционально.

Фазенда 14;1.0;2;2;2;Мне нравится дизайн этого здания.

Супермаркет 34;0.1;1;1;3;Это здание имеет стандартную конструкцию.

Цирк 83;4.5;2;4;1;Это великолепное здание!

Бункер 31;0.8;4;3;5;Это здание представляет собой типичный образец современной архитектуры.

Фабрика 15;3.5;3;4;5;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.

Чердак 3;4.7;1;5;4;Это здание имеет стандартную конструкцию.

Хаус 68;3.4;1;1;4;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.

Аптека 6;0.6;2;4;3;Это здание имеет стандартную конструкцию.

Мушиный лабиринт 4;0.3;2;1;4;Это здание является примером функционального дизайна.

Муравейник 66;3.3;3;5;2;Это здание построено из стандартных строительных материалов.

Канализация 66;0.7;4;2;4;Это великолепное здание!

Овчарня 15;2.6;5;3;1;Мне нравится дизайн этого здания.

Муравейник 85;4.0;5;3;4;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.

Конюшня 37;1.0;1;1;3;Это здание прекрасно вписывается в окружающий ландшафт.

Пасека 81;0.4;3;3;5;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.

Пасека 81;1.2;3;2;5;У этого здания отличная архитектура.

Склад 79;3.6;2;3;5;Это здание имеет стандартную конструкцию.

Аптека 69;3.8;5;3;3;Это здание не имеет особых архитектурных особенностей.

Чердак 3;2.2;1;2;5;Это здание имеет стандартную конструкцию.

Архив 4;3.0;1;2;5;Это великолепное здание!

Котельная 75;0.5;5;2;3;Это здание прекрасно вписывается в окружающий ландшафт.

Силок 55;0.3;4;2;2;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.

Пасека 53;4.6;4;4;5;Мне нравится дизайн этого здания.

Склад 79;0.1;3;2;5;У этого здания отличная архитектура.

Супермаркет 34;1.4;3;2;5;Это здание представляет собой типичный образец современной архитектуры.

Ферма 34;2.3;2;1;3;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.

Пасека 53;3.9;5;2;1;У этого здания отличная архитектура.

Ангар 46;4.8;2;4;5;Это здание не имеет особых архитектурных особенностей.

Овчарня 15;0.9;5;1;3;Это здание построено из стандартных строительных материалов.

Муравейник 85;3.2;1;4;5;Это здание очень функционально.

Овчарня 15;2.1;5;3;2;Это здание имеет стандартную конструкцию.

Чердак 3;4.0;5;4;5;Это здание имеет стандартную конструкцию.

Аптека 19;1.9;2;4;1;Это здание построено из стандартных строительных материалов.

Крольчатник 45;3.5;5;2;4;Это здание является примером функционального дизайна.

Кинотеатр 28;2.9;5;5;3;У этого здания отличная архитектура.

Муравейник 66;3.1;5;2;5;Мне нравится дизайн этого здания.

Архив 4;2.3;4;3;4;Это здание не имеет особых архитектурных особенностей.

Кинотеатр 28;3.9;1;5;2;Это здание является примером функционального дизайна.

Фазенда 14;3.5;4;4;5;У этого здания отличная архитектура.

Супермаркет 34;3.5;5;2;4;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.

Фабрика 15;0.9;4;5;5;Это здание не имеет особых архитектурных особенностей.

Подвал 53;4.1;5;3;4;Это здание не имеет особых архитектурных особенностей.

Цирк 83;1.5;2;4;2;Это здание построено из стандартных строительных материалов.

Крольчатник 45;2.4;3;4;5;Это здание построено из стандартных строительных материалов.

Бункер 31;0.6;4;2;2;У этого здания отличная архитектура.

Фазенда 14;4.5;1;2;1;Это здание представляет собой типичный образец современной архитектуры.

Склад 79;2.9;3;2;4;Это здание построено из стандартных строительных материалов.

Аптека 6;2.7;5;2;2;Это здание построено из стандартных строительных материалов.

Улей 31;3.0;1;5;2;Это здание имеет стандартную конструкцию.

Конюшня 37;5.0;2;3;5;Это здание не имеет особых архитектурных особенностей.

Бункер 4;4.4;1;1;3;Это здание имеет стандартную конструкцию.

