product_id,name,price,quantity,category,description,production_date,expiration_date,rating,status
75,Шелковица,703,145,Фрукты,Помогает улучшать качество сна и снижать уровень тревожности.,1999-02-08,2021-09-02,3.05,Awaiting Payment
76,Кабан,4786,490,Мясо,Помогает поддерживать оптимальный вес и форму тела.,1990-04-05,2009-01-11,0.74,Temporarily Unavailable
77,Грейпфрут,9999,654,Фрукты,"Отличается высоким содержанием пребиотиков, способствующих здоровью кишечника.",1996-01-15,2006-02-09,1.33,Awaiting Payment
78,Апельсин,7276,545,Фрукты,Отличается высокой питательностью и способен быстро утолить голод.,2019-10-02,2021-05-01,2.27,Available for Pickup
79,Лен семена,4387,735,Бакалея,"Отличается высоким содержанием антоцианов, пигментов, обладающих антиоксидантными и противовоспалительными свойствами.",1993-08-05,2009-02-14,0.62,Refunded
80,Солонина,3314,337,Мясо,"Имеет низкий гликемический индекс, что делает его безопасным для диабетиков.",2010-03-10,2017-03-04,4.34,Cancelled
81,Катык,7257,870,Молочные продукты,Используется в косметологии для ухода за кожей и волосами.,2019-01-21,2023-05-04,3.28,Pending
82,Крыжовник,7058,176,Фрукты,Может быть использован в выпечке для придания ей особой пышности и аромата.,2005-05-14,2012-10-09,0.34,Out of Stock
83,Пакеты для Дня Земли,6807,82,Товары для дома,"Помогает поддерживать нормальный уровень генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",2015-01-10,2025-03-06,2.58,Refunded
84,"Специи (перец, куркума, зира)",578,789,Бакалея,"Отличается приятным ароматом, который усиливает аппетит.",1997-01-01,2005-01-05,1.98,Out of Stock
85,Пакеты для запекания,5098,397,Товары для дома,"Отличается высоким содержанием рибофлавина, необходимого для здоровья кожи и зрения.",1995-03-03,2006-05-10,3.25,New
86,Пакеты для путешествий,8166,776,Товары для дома,"Помогает поддерживать нормальный уровень даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",2019-03-05,2025-01-22,2.17,New
87,Просо,9242,309,Бакалея,"Отличается высоким содержанием фтора, необходимого для здоровья зубов и костей.",2011-12-10,2025-01-19,3.9,Sold
88,Мороженое,511,608,Молочные продукты,"Отличается высоким содержанием цинка, необходимого для здоровой иммунной системы.",2020-11-03,2021-07-06,4.11,Backorder
89,Пироги с мясом,6643,990,Мясо,"Отличается высоким содержанием капсаицина, вещества, ускоряющего метаболизм и уменьшающего боль.",1994-04-04,2017-06-15,1.99,Temporarily Unavailable
90,Пармезан,8855,108,Молочные продукты,"Отличается высоким содержанием фтора, необходимого для здоровья зубов и костей.",2019-08-02,2025-03-04,0.69,Shipping
91,Горох,623,974,Овощи,Помогает улучшить работу мозга и повысить концентрацию внимания.,2009-02-28,2030-02-01,3.84,Refunded
92,Смородина,590,520,Фрукты,Отвечает всем современным стандартам качества и безопасности.,1990-02-14,2022-01-07,4.81,Awaiting Review
93,Бифштекс,2474,151,Мясо,Прошел проверку на соответствие экологическим нормам и стандартам.,2018-01-01,2027-02-17,4.56,On Backorder
94,Ласси,2601,624,Молочные продукты,"Отличается широким ассортиментом вкусов и форматов, удовлетворяя потребности разных категорий потребителей.",2015-04-12,2029-03-02,1.22,Shipping
95,Топлёное молоко,7790,683,Молочные продукты,"Отличается высоким содержанием генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",2012-03-01,2028-09-02,2.06,Awaiting Payment
96,Ульяновская,8022,112,Напитки,Помогает укреплять стенки сосудов и улучшать кровообращение.,2016-06-09,2024-03-01,3.75,Sold
97,Имбирь молотый,3065,814,Бакалея,"Отличается высоким содержанием пребиотиков, способствующих здоровью кишечника.",1999-02-01,2022-03-11,0.3,Backorder
98,Эмменталь,5358,624,Молочные продукты,"Отличается высоким содержанием биотина, необходимого для здоровья волос, кожи и ногтей.",2016-12-04,2025-02-06,0.42,Cancelled
99,Кофе молотый,1917,765,Бакалея,Способствует нормализации обмена веществ в организме.,2022-07-08,2029-06-03,1.45,In Stock
100,Блины с мясом,9760,592,Мясо,"Помогает поддерживать нормальный уровень кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",1997-02-01,2015-08-06,4.59,Sold
101,Сметана,6649,4,Молочные продукты,"Является источником важных микроэлементов, таких как магний и калий.",2016-09-05,2027-02-07,1.87,Backorder
102,Лук-порей,2519,541,Овощи,Прошел проверку на соответствие экологическим нормам и стандартам.,2016-05-05,2021-01-03,4.83,On Backorder
103,Кефир,795,191,Молочные продукты,"Отличается высоким содержанием антоцианов, пигментов, обладающих антиоксидантными и противовоспалительными свойствами.",2003-04-19,2021-01-13,1.83,New
104,Кефир,7104,728,Молочные продукты,Отличается хорошей совместимостью с другими продуктами питания.,2010-01-02,2013-03-01,3.1,Available for Pickup
105,Авокадо,6056,753,Фрукты,Часто рекомендуется врачами-диетологами как часть здорового питания.,1999-09-01,2014-08-03,0.44,Refunded
106,Пакеты для косметики,3519,987,Товары для дома,"Подходит для приготовления как горячих, так и холодных блюд.",2016-01-27,2023-03-03,4.98,Available for Pickup
107,Картофель,6264,724,Овощи,Может быть использован в выпечке для придания ей особой пышности и аромата.,2003-01-16,2010-11-03,1.36,Pending
108,"Специи (перец, куркума, зира)",3248,527,Бакалея,"Помогает поддерживать нормальный уровень аллицина, вещества, обладающего антибактериальными и противогрибковыми свойствами.",1997-10-03,2020-01-10,3.32,Pending
109,Ананас,4768,446,Фрукты,Представляет собой ценный источник питательных веществ для растущего организма.,2009-01-02,2014-03-01,4.8,Sold
110,Творог,7281,475,Бакалея,Помогает предотвратить дефицит витаминов и минералов в организме.,2005-12-17,2027-06-10,2.31,Pending
111,Владимирская,495,674,Напитки,"Помогает поддерживать нормальный уровень аллицина, вещества, обладающего антибактериальными и противогрибковыми свойствами.",1990-05-12,1996-01-03,0.9,Awaiting Payment
112,Крымская,4017,511,Напитки,"Помогает поддерживать нормальный уровень эритропоэтина, гормона, стимулирующего производство эритроцитов.",2010-03-16,2021-03-07,1.96,Backorder
113,Молоко,7099,217,Молочные продукты,"Популярен среди спортсменов и людей, ведущих активный образ жизни.",2003-02-26,2025-03-10,2.58,Awaiting Payment
114,Кабачок,1507,529,Овощи,Помогает поддерживать нормальный уровень триглицеридов в крови.,2020-05-01,2029-01-06,1.04,Sold
115,Фета,6750,826,Молочные продукты,"Помогает поддерживать нормальный уровень гамма-аминомасляной кислоты (GABA), успокаивающего нейромедиатора.",2000-08-07,2005-05-01,2.29,Available for Pickup
116,Простыни,943,310,Товары для дома,"Является источником антиоксидантов, замедляющих процессы старения.",2014-02-21,2024-01-05,4.92,Awaiting Payment
117,Кролик,9967,802,Мясо,"Помогает поддерживать нормальный уровень аллицина, вещества, обладающего антибактериальными и противогрибковыми свойствами.",2022-05-11,2023-01-07,3.69,Cancelled
118,Чеддер,6337,832,Молочные продукты,Может быть использован в качестве заменителя менее полезных продуктов.,2003-05-01,2026-01-07,4.74,Returned
