product_id,name,price,quantity,category,description,production_date,expiration_date,rating,status
16,Гауда,1819.0,48,Молочные продукты,"Отличается высоким содержанием даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",2000-04-01,2020-09-03,3.82,In Stock
17,Куриные голени,7578.0,445,Мясо,"Отличается высоким содержанием катехинов, мощных антиоксидантов, полезных для сердца и сосудов.",1990-02-02,2025-07-02,1.04,Returned
18,Карамбола,330.0,347,Фрукты,Способствует укреплению иммунной системы благодаря содержанию пробиотиков.,2020-10-03,2025-12-04,0.45,Awaiting Review
19,Кефир,7680.0,435,Молочные продукты,"Отличается высоким содержанием альфа-липоевой кислоты, мощного антиоксиданта.",1997-09-07,2016-01-04,1.57,Refunded
20,Кондиционер для волос,6982.0,399,Товары для дома,Подходит для использования в диетических программах для похудения.,1997-05-08,2021-01-01,3.18,Sold
21,Пакеты для обуви,3834.0,661,Товары для дома,"Универсальный продукт, который можно использовать в приготовлении как сладких, так и соленых блюд.",2005-01-06,2026-06-12,1.34,Available for Pickup
22,Куриные крылышки,8424.0,987,Мясо,"Помогает поддерживать нормальный уровень эритропоэтина, гормона, стимулирующего производство эритроцитов.",2010-04-13,2014-07-05,2.32,Temporarily Unavailable
23,Чеддер,6163.0,860,Молочные продукты,Отличается высокой усвояемостью и не вызывает дискомфорта в желудке.,2002-11-19,2006-02-15,0.22,In Stock
24,Эмменталь,4246.0,191,Молочные продукты,Отличается натуральным составом и отсутствием искусственных добавок.,1998-03-02,2003-05-03,4.21,Awaiting Payment
25,Косулятина,760.0,888,Мясо,Помогает улучшить когнитивные функции и память.,2000-01-08,2016-01-09,1.47,New
26,Лимон,133.0,912,Фрукты,Поддерживает иммунитет и общее состояние здоровья.,1991-07-01,2027-03-11,5.01,Returned
27,Каша из дробленой перловки,9215.0,780,Бакалея,Часто рекомендуется врачами-диетологами как часть здорового питания.,2022-02-01,2022-06-02,0.29,Awaiting Review
28,Лук-порей,7892.0,777,Овощи,Помогает поддерживать нормальный уровень глюкозы в крови.,1995-03-06,2018-05-02,4.24,Pending
29,Кольраби,6315.0,701,Овощи,"Отличается высоким содержанием тиамина, необходимого для нормального функционирования нервной системы.",2005-01-14,2010-06-06,3.66,Out of Stock
30,Помело,5717.0,317,Фрукты,"Отличается высоким содержанием хрома, необходимого для регуляции уровня сахара в крови.",2017-04-01,2025-03-02,0.12,New
31,Эмменталь,9584.0,65,Молочные продукты,Прошел строгий контроль качества на всех этапах производства.,2007-02-01,2030-03-22,2.73,Refunded
32,Ласси,3132.0,183,Молочные продукты,Подходит для использования в рецептах традиционной кухни разных стран.,2002-05-03,2021-01-04,0.62,Returned
33,Папайя,8631.0,959,Фрукты,"Помогает поддерживать нормальный уровень апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2021-02-20,2030-04-12,1.62,Out of Stock
34,Крыжовник,8169.0,54,Фрукты,"Отличается высоким содержанием калия, необходимого для нормальной работы сердца.",2021-01-01,2023-06-03,3.58,Returned
35,Камут,8698.0,332,Бакалея,"Является источником витаминов группы B, необходимых для энергетического обмена.",1997-02-01,2028-05-11,1.31,Backorder
36,Баклажан,1270.0,713,Овощи,Способствует нормализации обмена веществ в организме.,2020-05-05,2023-03-02,0.23,Cancelled
37,Ласси,9925.0,921,Молочные продукты,Прошел независимые лабораторные исследования и получил положительные отзывы экспертов.,2002-01-04,2026-02-03,4.16,Delivered
38,Сальтисон,6038.0,65,Мясо,"Отличается высоким содержанием бета-каротина, необходимого для здоровья глаз и кожи.",2014-03-01,2029-07-02,3.11,Awaiting Payment
39,Латте,9376.0,644,Напитки,Прошел тщательный отбор сырья и контроль на каждом этапе производства.,1998-02-03,2016-01-06,1.8,Returned
40,Адыгейский сыр,6553.0,360,Молочные продукты,"Отличается высоким содержанием калия, необходимого для нормальной работы сердца.",1998-01-07,2023-01-02,3.04,Pending
41,Каша из сорго,7642.0,225,Бакалея,"Отличается высоким содержанием мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2022-11-01,2025-04-04,3.98,Shipping
42,Каша из дробленого кускуса,5915.0,79,Бакалея,"Обладает мягким вкусом, который нравится многим потребителям.",1994-02-01,1996-02-01,1.01,Available for Pickup
43,Молочный коктейль,447.0,415,Напитки,"Отличается высоким содержанием кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2010-01-14,2024-03-04,2.73,Temporarily Unavailable
44,Грудинка копченая,8498.0,300,Мясо,"Отличается высоким содержанием олигосахаридов, полезных для здоровья кишечника и иммунной системы.",2018-08-07,2022-03-05,0.05,Temporarily Unavailable
45,Топлёное молоко,2666.0,962,Молочные продукты,Отличается универсальностью применения в кулинарии и пищевой промышленности.,2017-05-04,2025-01-01,0.95,Backorder
46,Курт,2569.0,630,Молочные продукты,"Является источником важных микроэлементов, таких как магний и калий.",2008-03-12,2028-12-01,2.3,Shipping
47,Пакеты для садовых работ,2592.0,941,Товары для дома,"Помогает поддерживать нормальный уровень кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2015-02-03,2020-08-08,3.65,Awaiting Payment
48,Клубника,7919.0,754,Фрукты,"Помогает поддерживать нормальный уровень эндорфинов, гормонов радости и удовольствия.",2014-05-08,2025-05-12,2.0,New
49,Папайя,5015.0,781,Фрукты,"Помогает поддерживать нормальный уровень нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",2004-01-25,2007-05-04,2.65,In Stock
50,Парфюм,1237.0,516,Товары для дома,Помогает поддерживать нормальный уровень артериального давления.,2002-03-15,2009-01-13,4.94,On Backorder
51,Артек,1842.0,786,Напитки,Помогает поддерживать нормальное функционирование печени и желчного пузыря.,2014-01-04,2024-05-11,3.69,Awaiting Review
52,Сыр,1778.0,234,Молочные продукты,Помогает поддерживать нормальный уровень гомоцистеина в крови.,2017-02-17,2028-01-07,1.53,Awaiting Review
53,Рагу,731.0,481,Мясо,Представляет собой ценный источник питательных веществ для растущего организма.,2012-12-20,2015-03-09,0.6,Backorder
54,Простокваша,1898.0,557,Молочные продукты,Помогает регулировать уровень сахара в крови и предотвращать резкие скачки инсулина.,2007-09-04,2013-01-17,2.45,Temporarily Unavailable
55,Морковь,7339.0,366,Овощи,"Отличается высоким содержанием астаксантина, мощного антиоксиданта, полезного для кожи и суставов.",2012-02-08,2022-02-04,2.16,Awaiting Review
56,Салфетки влажные,1946.0,73,Товары для дома,Помогает предотвратить дефицит витаминов и минералов в организме.,2004-01-22,2026-01-06,3.67,Refunded
57,Мука ржаная,8168.0,359,Бакалея,Является важной составляющей рациона для поддержания общего здоровья и благополучия.,2017-01-25,2020-01-25,2.75,Delivered
58,Яблоко,3501.0,965,Фрукты,Отличается низким содержанием насыщенных жиров и холестерина.,1992-02-06,2028-02-06,1.13,Shipping
59,Донат магний,4705.0,413,Напитки,"Отличается высоким содержанием антиоксидантов, защищающих клетки от окислительного стресса.",2008-01-15,2012-06-03,1.98,Sold
60,Азовская,4586.0,977,Напитки,Помогает поддерживать нормальный уровень электролитов в организме.,1998-01-23,2006-04-15,0.27,New
61,Щавель,5165.0,914,Овощи,Способствует укреплению иммунной системы благодаря содержанию пробиотиков.,2020-04-14,2025-08-06,0.37,On Backorder
62,Цукини,5321.0,501,Овощи,Помогает сохранять бодрость и активность в течение дня.,1995-04-01,2012-02-08,3.03,Cancelled
63,Молоко,432.0,572,Молочные продукты,Отличается высокой питательной ценностью и помогает поддерживать здоровый образ жизни.,2012-01-01,2030-01-14,4.39,Awaiting Payment
64,Кровяная колбаса,1497.0,41,Мясо,Подходит для использования в качестве основы для смузи и коктейлей.,1998-03-05,2009-09-04,3.82,Temporarily Unavailable
65,Мука пшеничная,4477.0,727,Бакалея,"Помогает поддерживать нормальный уровень сапонинов, веществ, способствующих снижению уровня холестерина.",1992-03-17,2002-05-01,1.35,Cancelled
66,Морковь,6297.0,574,Овощи,"Помогает поддерживать нормальный уровень дофамина, гормона, отвечающего за мотивацию и удовольствие.",2002-05-01,2028-04-04,3.63,Awaiting Payment
67,Зельц,1708.0,807,Мясо,"Отличается высоким содержанием рутина, флавоноида, укрепляющего сосуды и улучшающего кровообращение.",2008-04-02,2020-01-02,4.29,Awaiting Review
68,Кетчуп,3597.0,372,Бакалея,Отличается простотой в использовании и хранении.,2018-02-09,2027-09-05,0.04,Sold
69,Якутская,757.0,20,Напитки,Идеален для перекусов между основными приемами пищи.,2013-08-19,2021-06-10,1.6,On Backorder
70,Мацеста,5203.0,781,Напитки,Способствует укреплению иммунной системы благодаря содержанию пробиотиков.,2009-02-22,2021-10-03,3.59,Awaiting Payment
71,Отбивная,2871.0,447,Мясо,"Помогает поддерживать нормальный уровень эритропоэтина, гормона, стимулирующего производство эритроцитов.",2006-03-02,2010-07-08,2.96,Awaiting Payment
72,Манты,4409.0,411,Мясо,"Помогает поддерживать нормальный уровень кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2016-11-02,2024-01-19,0.77,Shipping
73,Боржоми,1481.0,178,Напитки,Помогает укрепить иммунную систему и защитить организм от инфекций.,1999-07-07,2023-01-03,4.96,In Stock
74,Мыло жидкое,7837.0,210,Товары для дома,"Отличается высоким содержанием пикногенола, мощного антиоксиданта, полезного для кожи и сосудов.",2016-01-21,2021-03-21,3.72,Shipping
75,Оленина,9740.0,884,Мясо,Является важным компонентом сбалансированного рациона питания.,1990-07-19,2005-02-08,3.67,Awaiting Review
76,Пакеты для Дня матери,3106.0,18,Товары для дома,"Помогает поддерживать нормальный уровень гамма-аминомасляной кислоты (GABA), успокаивающего нейромедиатора.",2004-09-15,2019-07-27,1.45,Awaiting Review
77,Пакеты для рыбалки,3218.0,833,Товары для дома,"Отличается высоким содержанием лютеолина, флавоноида, обладающего противовоспалительными свойствами.",2019-01-01,2024-05-05,3.01,Cancelled
78,Наборы столовых приборов,2481.0,506,Товары для дома,"Помогает поддерживать нормальный уровень генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",2010-01-02,2012-06-02,1.99,Available for Pickup
79,Кокос,6188.0,700,Фрукты,Подходит для использования в качестве основы для смузи и коктейлей.,2022-04-02,2029-09-03,1.57,Temporarily Unavailable
80,Патиссон,7102.0,350,Овощи,Отличается хорошей совместимостью с другими продуктами питания.,1999-01-14,2030-06-05,3.68,New
81,Открывалка для бутылок,2582.0,754,Товары для дома,Отличается универсальностью применения в кулинарии и пищевой промышленности.,2008-02-06,2023-01-25,3.22,On Backorder
82,Простокваша,8828.0,496,Молочные продукты,Прошел строгий контроль качества на всех этапах производства.,2006-07-02,2027-02-12,4.9,Delivered
83,Йогурт натуральный,3214.0,24,Бакалея,Помогает поддерживать нормальный уровень мочевой кислоты в организме.,2001-05-09,2022-07-08,2.04,Sold
84,Ливерная колбаса,9606.0,963,Мясо,"Отличается высоким содержанием витаминов группы D, необходимых для здоровья костей и иммунитета.",2005-09-01,2028-01-04,4.09,Delivered
85,Шалфей сушеный,9231.0,949,Бакалея,Помогает поддерживать нормальный уровень мочевой кислоты в организме.,1997-07-03,2024-04-02,3.79,Pending
86,Чебуреки,168.0,700,Мясо,"Помогает поддерживать нормальный уровень кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2011-03-11,2018-04-06,3.13,In Stock
87,Каша из поленты,6414.0,76,Бакалея,"Подходит для людей всех возрастов, включая детей и пожилых.",2004-07-12,2023-08-03,1.53,On Backorder
88,Карбонад,2212.0,702,Мясо,Способствует улучшению работы пищеварительной системы.,2009-01-06,2030-01-17,2.14,New
89,Ананас,9845.0,779,Фрукты,"Отличается высоким содержанием витамина C, необходимого для здоровья кожи и иммунной системы.",1997-01-03,2002-03-01,0.02,Sold
90,Свинина,5759.0,15,Мясо,"Отличается высоким содержанием хрома, необходимого для регуляции уровня сахара в крови.",2018-01-05,2027-01-23,1.27,In Stock
91,Мацеста,800.0,38,Напитки,"Подходит для веганов и вегетарианцев, если произведен без использования животных компонентов.",1999-02-07,2029-03-15,0.99,Awaiting Payment
92,Капучино,9885.0,394,Напитки,Помогает поддерживать здоровье нервной системы благодаря содержанию магния.,2013-08-11,2026-03-05,3.23,Sold
93,Окра,8185.0,693,Овощи,"Помогает поддерживать нормальный уровень лептина, гормона насыщения.",2015-02-09,2025-06-09,0.53,Awaiting Review
94,Пакеты для рыбалки,2999.0,174,Товары для дома,"Отличается высоким содержанием мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2000-05-20,2023-03-03,1.78,Backorder
95,Сыворотка молочная,1055.0,655,Бакалея,Отличается высокой усвояемостью и не вызывает дискомфорта в желудке.,1990-10-08,2011-03-01,1.28,New
96,Мороженое,2262.0,148,Молочные продукты,"Отличается высоким содержанием бета-каротина, необходимого для здоровья глаз и кожи.",1990-06-01,2012-05-11,2.94,Refunded
97,Саратовская,6043.0,902,Напитки,Отличается легкостью в переваривании и усвоении организмом.,2010-02-06,2021-06-16,0.27,Temporarily Unavailable
98,Каймак,263.0,974,Молочные продукты,"Помогает поддерживать нормальный уровень даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",2019-01-13,2025-06-19,3.5,New
99,Каша из манной крупы,537.0,711,Бакалея,Помогает поддерживать нормальный обмен веществ и метаболизм.,2008-06-11,2010-01-14,3.04,Available for Pickup
100,Сок яблочный,9728.0,706,Напитки,"Отличается разнообразием вкусов и текстур, что позволяет каждому найти свой любимый продукт.",1992-02-04,2006-01-04,3.69,Awaiting Review
101,Кабачок,8685.0,640,Овощи,Отличается высокой усвояемостью и не вызывает дискомфорта в желудке.,2007-07-08,2017-08-01,3.6,Shipping
102,Смородина,5959.0,128,Фрукты,"Отличается высоким содержанием пикногенола, мощного антиоксиданта, полезного для кожи и сосудов.",2015-09-06,2022-10-09,1.62,Available for Pickup
103,Камчатская,7475.0,592,Напитки,Подходит для использования в специализированных диетах и лечебных программах.,2011-01-23,2023-05-09,0.32,Cancelled
104,Цукини,9900.0,566,Овощи,"Отличается высоким содержанием антиоксидантов, защищающих клетки от окислительного стресса.",1993-01-14,2016-01-04,1.5,New
105,Помело,1431.0,667,Фрукты,Рекомендуется для ежедневного потребления в умеренных количествах.,1999-05-01,2026-01-02,0.48,Refunded
106,Колбаса вареная,8486.0,957,Мясо,"Отличается высоким содержанием таурина, необходимого для здоровья глаз и сердца.",1999-08-01,2019-02-02,0.25,Cancelled
107,Коктебельская,4476.0,802,Напитки,Поддерживает иммунитет и общее состояние здоровья.,1998-01-19,2022-07-02,0.83,Refunded
108,Сорго,307.0,596,Бакалея,"Отличается высоким содержанием витамина E, необходимого для защиты клеточных мембран.",2002-06-06,2024-02-02,1.95,Temporarily Unavailable
109,Солонина,3190.0,822,Мясо,Является важным компонентом сбалансированного рациона питания.,1999-02-06,2019-05-19,4.77,Temporarily Unavailable
110,Сельдерей,2902.0,44,Овощи,Прошел тестирование на отсутствие ГМО и вредных химических соединений.,2014-09-05,2019-06-15,0.83,Sold
111,Апельсин,8904.0,636,Фрукты,"Отличается высоким содержанием карнитина, необходимого для преобразования жиров в энергию.",1995-03-07,2025-05-07,4.58,Delivered
112,Пахта,5760.0,579,Молочные продукты,"Отличается высоким содержанием мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",1997-04-04,2000-01-03,1.95,Out of Stock
